
>>> Condition Data >>>

    9073015 of 4400220000 molecules passed the conditions (0.21 percent).
  - 73:   100.0000 percent of the time (20001 hits)
  - 74:   100.0000 percent of the time (20001 hits)
  - 75:   100.0000 percent of the time (20001 hits)
  - 76:   100.0000 percent of the time (20001 hits)
  - 77:   100.0000 percent of the time (20001 hits)
  - 78:   100.0000 percent of the time (20001 hits)
  - 79:   100.0000 percent of the time (20001 hits)
  - 80:   100.0000 percent of the time (20001 hits)
  - 81:   100.0000 percent of the time (20001 hits)
  - 82:   100.0000 percent of the time (20001 hits)
  - 83:   100.0000 percent of the time (20001 hits)
  - 84:   100.0000 percent of the time (20001 hits)
  - 85:   100.0000 percent of the time (20001 hits)
  - 86:   100.0000 percent of the time (20001 hits)
  - 87:   100.0000 percent of the time (20001 hits)
  - 88:   100.0000 percent of the time (20001 hits)
  - 89:   100.0000 percent of the time (20001 hits)
  - 90:   100.0000 percent of the time (20001 hits)
  - 91:   100.0000 percent of the time (20001 hits)
  - 92:   100.0000 percent of the time (20001 hits)
  - 93:   100.0000 percent of the time (20001 hits)
  - 94:   100.0000 percent of the time (20001 hits)
  - 95:   100.0000 percent of the time (20001 hits)
  - 96:   100.0000 percent of the time (20001 hits)
  - 97:   100.0000 percent of the time (20001 hits)
  - 98:   100.0000 percent of the time (20001 hits)
  - 99:   100.0000 percent of the time (20001 hits)
  - 100:   100.0000 percent of the time (20001 hits)

List of observed molecules (H) that passed the conditions:

  -  1:     0.0300 percent of the time (6 hits)
  -  2:     5.9547 percent of the time (1191 hits)
  -  3:    59.7720 percent of the time (11955 hits)
  -  4:     3.9748 percent of the time (795 hits)
  -  5:     2.1699 percent of the time (434 hits)
  -  6:     7.1646 percent of the time (1433 hits)
  -  7:     9.6295 percent of the time (1926 hits)
  -  8:    98.7401 percent of the time (19749 hits)
  -  9:     9.2995 percent of the time (1860 hits)
  - 10:    18.2641 percent of the time (3653 hits)
  - 11:     2.9999 percent of the time (600 hits)
  - 12:     9.6845 percent of the time (1937 hits)
  - 13:     7.0496 percent of the time (1410 hits)
  - 14:    12.6194 percent of the time (2524 hits)
  - 17:     0.0650 percent of the time (13 hits)
  - 18:     0.6850 percent of the time (137 hits)
  - 19:     0.0100 percent of the time (2 hits)
  - 21:     0.0200 percent of the time (4 hits)
  - 23:     5.8497 percent of the time (1170 hits)
  - 24:     4.2748 percent of the time (855 hits)
  - 27:     0.6750 percent of the time (135 hits)
  - 28:     0.2300 percent of the time (46 hits)
  - 29:     0.7650 percent of the time (153 hits)
  - 30:     2.1999 percent of the time (440 hits)
  - 31:     0.0400 percent of the time (8 hits)
  - 32:    80.6360 percent of the time (16128 hits)
  - 33:     1.6699 percent of the time (334 hits)
  - 34:     2.9549 percent of the time (591 hits)
  - 35:     0.0100 percent of the time (2 hits)
  - 36:    98.5351 percent of the time (19708 hits)
  - 37:     2.4199 percent of the time (484 hits)
  - 38:     6.9897 percent of the time (1398 hits)
  - 39:     2.5699 percent of the time (514 hits)
  - 41:     9.9245 percent of the time (1985 hits)
  - 42:     4.1898 percent of the time (838 hits)
  - 43:     0.7850 percent of the time (157 hits)
  - 44:     0.5850 percent of the time (117 hits)
  - 45:    37.5931 percent of the time (7519 hits)
  - 46:    10.1995 percent of the time (2040 hits)
  - 47:    30.6535 percent of the time (6131 hits)
  - 48:    14.2743 percent of the time (2855 hits)
  - 49:     0.0400 percent of the time (8 hits)
  - 50:     1.7449 percent of the time (349 hits)
  - 51:     5.8897 percent of the time (1178 hits)
  - 52:     1.1599 percent of the time (232 hits)
  - 53:     6.2147 percent of the time (1243 hits)
  - 54:    99.9550 percent of the time (19992 hits)
  - 55:     9.9295 percent of the time (1986 hits)
  - 56:     3.5348 percent of the time (707 hits)
  - 57:     0.0500 percent of the time (10 hits)
  - 59:     0.7400 percent of the time (148 hits)
  - 60:     3.7048 percent of the time (741 hits)
  - 61:     5.7147 percent of the time (1143 hits)
  - 62:     4.2998 percent of the time (860 hits)
  - 63:     4.4098 percent of the time (882 hits)
  - 64:     0.5050 percent of the time (101 hits)
  - 65:     0.0600 percent of the time (12 hits)
  - 66:    15.7442 percent of the time (3149 hits)
  - 67:     3.1148 percent of the time (623 hits)
  - 68:     7.8946 percent of the time (1579 hits)
  - 69:     5.6497 percent of the time (1130 hits)
  - 70:    17.3441 percent of the time (3469 hits)
  - 71:    43.1228 percent of the time (8625 hits)
  - 72:    43.1178 percent of the time (8624 hits)
  - 73:    38.5131 percent of the time (7703 hits)
  - 74:    28.9036 percent of the time (5781 hits)
  - 75:    59.3820 percent of the time (11877 hits)
  - 76:     9.8745 percent of the time (1975 hits)
  - 77:     0.1450 percent of the time (29 hits)
  - 78:     7.0496 percent of the time (1410 hits)
  - 79:    18.9591 percent of the time (3792 hits)
  - 80:    17.3841 percent of the time (3477 hits)
  - 81:     1.0249 percent of the time (205 hits)
  - 82:     2.1799 percent of the time (436 hits)
  - 83:     0.0400 percent of the time (8 hits)
  - 84:     7.5396 percent of the time (1508 hits)
  - 87:    14.3693 percent of the time (2874 hits)
  - 88:     4.2348 percent of the time (847 hits)
  - 89:     2.8899 percent of the time (578 hits)
  - 90:    48.3476 percent of the time (9670 hits)
  - 91:    26.4487 percent of the time (5290 hits)
  - 92:    99.1400 percent of the time (19829 hits)
  - 93:    42.4979 percent of the time (8500 hits)
  - 94:    58.4771 percent of the time (11696 hits)
  - 95:     1.2049 percent of the time (241 hits)
  - 96:     9.8445 percent of the time (1969 hits)
  - 97:    22.5639 percent of the time (4513 hits)
  - 98:    16.4542 percent of the time (3291 hits)
  - 99:     8.2346 percent of the time (1647 hits)
  - 100:    88.4606 percent of the time (17693 hits)
  - 101:     7.9746 percent of the time (1595 hits)
  - 102:    10.6895 percent of the time (2138 hits)
  - 103:    11.2194 percent of the time (2244 hits)
  - 104:    28.7486 percent of the time (5750 hits)
  - 105:     3.9748 percent of the time (795 hits)
  - 106:    99.6000 percent of the time (19921 hits)
  - 107:     0.0550 percent of the time (11 hits)
  - 108:     5.1747 percent of the time (1035 hits)
  - 109:    95.8952 percent of the time (19180 hits)
  - 110:    16.9042 percent of the time (3381 hits)
  - 111:    93.9003 percent of the time (18781 hits)
  - 112:     5.1347 percent of the time (1027 hits)
  - 113:     4.7298 percent of the time (946 hits)
  - 114:    52.4674 percent of the time (10494 hits)
  - 115:    50.6525 percent of the time (10131 hits)
  - 116:    20.1640 percent of the time (4033 hits)
  - 117:    26.4737 percent of the time (5295 hits)
  - 118:     4.5598 percent of the time (912 hits)
  - 119:     3.0448 percent of the time (609 hits)
  - 120:     0.4800 percent of the time (96 hits)
  - 121:     4.0848 percent of the time (817 hits)
  - 122:    16.8192 percent of the time (3364 hits)
  - 123:     0.4550 percent of the time (91 hits)
  - 124:    18.8191 percent of the time (3764 hits)
  - 125:     3.6498 percent of the time (730 hits)
  - 126:    14.0843 percent of the time (2817 hits)
  - 127:    57.7621 percent of the time (11553 hits)
  - 128:    34.7833 percent of the time (6957 hits)
  - 129:    21.2889 percent of the time (4258 hits)
  - 130:    34.1883 percent of the time (6838 hits)
  - 131:     4.6498 percent of the time (930 hits)
  - 132:     0.9150 percent of the time (183 hits)
  - 133:    46.9177 percent of the time (9384 hits)
  - 134:    30.5335 percent of the time (6107 hits)
  - 135:    82.3009 percent of the time (16461 hits)
  - 136:    79.7060 percent of the time (15942 hits)
  - 137:     7.5296 percent of the time (1506 hits)
  - 138:     1.3999 percent of the time (280 hits)
  - 139:    13.4293 percent of the time (2686 hits)
  - 140:    74.9913 percent of the time (14999 hits)
  - 142:    24.0738 percent of the time (4815 hits)
  - 143:    44.0928 percent of the time (8819 hits)
  - 145:    28.1986 percent of the time (5640 hits)
  - 146:    23.6988 percent of the time (4740 hits)
  - 147:    15.6242 percent of the time (3125 hits)
  - 148:    12.9344 percent of the time (2587 hits)
  - 149:    10.9545 percent of the time (2191 hits)
  - 150:    20.4890 percent of the time (4098 hits)
  - 151:    98.6551 percent of the time (19732 hits)
  - 152:    42.5629 percent of the time (8513 hits)
  - 153:     3.2748 percent of the time (655 hits)
  - 154:    33.5433 percent of the time (6709 hits)
  - 155:    18.3641 percent of the time (3673 hits)
  - 156:    28.2736 percent of the time (5655 hits)
  - 157:     0.4850 percent of the time (97 hits)
  - 158:     2.4499 percent of the time (490 hits)
  - 159:     0.6800 percent of the time (136 hits)
  - 160:    10.1595 percent of the time (2032 hits)
  - 161:     2.7149 percent of the time (543 hits)
  - 162:     0.3550 percent of the time (71 hits)
  - 163:    10.1395 percent of the time (2028 hits)
  - 164:    44.5928 percent of the time (8919 hits)
  - 165:     8.0296 percent of the time (1606 hits)
  - 166:    86.6807 percent of the time (17337 hits)
  - 167:     6.9697 percent of the time (1394 hits)
  - 168:    25.7887 percent of the time (5158 hits)
  - 169:     7.0696 percent of the time (1414 hits)
  - 170:    62.2519 percent of the time (12451 hits)
  - 171:     0.4400 percent of the time (88 hits)
  - 172:    16.3342 percent of the time (3267 hits)
  - 173:    32.4984 percent of the time (6500 hits)
  - 174:     0.3950 percent of the time (79 hits)
  - 175:     3.6098 percent of the time (722 hits)
  - 176:     3.0398 percent of the time (608 hits)
  - 177:    55.3472 percent of the time (11070 hits)
  - 178:    76.1312 percent of the time (15227 hits)
  - 179:     3.0248 percent of the time (605 hits)
  - 180:     0.4350 percent of the time (87 hits)
  - 181:     0.0250 percent of the time (5 hits)
  - 182:    95.4952 percent of the time (19100 hits)
  - 183:    19.2340 percent of the time (3847 hits)
  - 184:    20.9190 percent of the time (4184 hits)
  - 185:    13.1943 percent of the time (2639 hits)
  - 186:    22.8439 percent of the time (4569 hits)
  - 187:     1.5999 percent of the time (320 hits)
  - 188:     0.0700 percent of the time (14 hits)
  - 191:     1.9399 percent of the time (388 hits)
  - 192:     0.5900 percent of the time (118 hits)
  - 194:     0.0300 percent of the time (6 hits)
  - 195:     5.1447 percent of the time (1029 hits)
  - 196:    63.0318 percent of the time (12607 hits)
  - 199:     0.4750 percent of the time (95 hits)
  - 200:     0.8600 percent of the time (172 hits)
  - 201:     2.6949 percent of the time (539 hits)
  - 202:    15.5792 percent of the time (3116 hits)
  - 203:     7.5896 percent of the time (1518 hits)
  - 204:    57.2721 percent of the time (11455 hits)
  - 205:     0.3750 percent of the time (75 hits)
  - 206:     0.3650 percent of the time (73 hits)
  - 207:     0.4750 percent of the time (95 hits)
  - 210:     0.0650 percent of the time (13 hits)
  - 211:     4.7348 percent of the time (947 hits)
  - 212:    54.0223 percent of the time (10805 hits)
  - 213:     9.9095 percent of the time (1982 hits)
  - 214:    49.6675 percent of the time (9934 hits)
  - 215:    37.7681 percent of the time (7554 hits)
  - 216:    21.0239 percent of the time (4205 hits)
  - 217:    27.6486 percent of the time (5530 hits)
  - 218:     0.0050 percent of the time (1 hits)
  - 219:     0.4400 percent of the time (88 hits)
  - 221:     0.1950 percent of the time (39 hits)
  - 222:     0.7650 percent of the time (153 hits)
  - 223:    99.1500 percent of the time (19831 hits)
  - 224:     1.5499 percent of the time (310 hits)
  - 229:     0.7100 percent of the time (142 hits)
  - 230:     0.5400 percent of the time (108 hits)
  - 231:     1.3149 percent of the time (263 hits)
  - 232:     0.1500 percent of the time (30 hits)
  - 236:     0.0100 percent of the time (2 hits)
  - 237:    24.1638 percent of the time (4833 hits)
  - 238:    14.5843 percent of the time (2917 hits)
  - 239:    76.1862 percent of the time (15238 hits)
  - 240:     3.1748 percent of the time (635 hits)
  - 241:     4.4348 percent of the time (887 hits)
  - 242:     6.7647 percent of the time (1353 hits)
  - 243:    28.1886 percent of the time (5638 hits)
  - 244:     8.7296 percent of the time (1746 hits)
  - 246:     0.0200 percent of the time (4 hits)
  - 247:     0.4950 percent of the time (99 hits)
  - 248:     8.3346 percent of the time (1667 hits)
  - 251:     0.3400 percent of the time (68 hits)
  - 253:     0.0050 percent of the time (1 hits)
  - 254:     0.0050 percent of the time (1 hits)
  - 255:     1.3999 percent of the time (280 hits)
  - 256:     6.0097 percent of the time (1202 hits)
  - 257:     0.6000 percent of the time (120 hits)
  - 258:     1.4749 percent of the time (295 hits)
  - 259:    54.2173 percent of the time (10844 hits)
  - 260:     2.4199 percent of the time (484 hits)
  - 261:     0.8250 percent of the time (165 hits)
  - 262:     0.6250 percent of the time (125 hits)
  - 263:    31.7934 percent of the time (6359 hits)
  - 264:     7.4696 percent of the time (1494 hits)
  - 265:     3.9598 percent of the time (792 hits)
  - 266:     4.3748 percent of the time (875 hits)
  - 268:     4.2798 percent of the time (856 hits)
  - 269:     3.7248 percent of the time (745 hits)
  - 270:    97.0701 percent of the time (19415 hits)
  - 271:    13.0443 percent of the time (2609 hits)
  - 272:     0.0250 percent of the time (5 hits)
  - 273:    67.6966 percent of the time (13540 hits)
  - 274:     0.0900 percent of the time (18 hits)
  - 276:    72.0664 percent of the time (14414 hits)
  - 277:    24.3338 percent of the time (4867 hits)
  - 278:     3.4848 percent of the time (697 hits)
  - 279:     5.1247 percent of the time (1025 hits)
  - 280:     1.4549 percent of the time (291 hits)
  - 281:    23.5738 percent of the time (4715 hits)
  - 282:    16.7642 percent of the time (3353 hits)
  - 283:     8.1296 percent of the time (1626 hits)
  - 284:     0.1800 percent of the time (36 hits)
  - 285:    14.7593 percent of the time (2952 hits)
  - 286:    38.4581 percent of the time (7692 hits)
  - 287:    19.1090 percent of the time (3822 hits)
  - 288:    13.4993 percent of the time (2700 hits)
  - 289:     2.0799 percent of the time (416 hits)
  - 290:     4.8698 percent of the time (974 hits)
  - 291:     6.2947 percent of the time (1259 hits)
  - 292:    10.6495 percent of the time (2130 hits)
  - 293:     5.3247 percent of the time (1065 hits)
  - 294:     3.6998 percent of the time (740 hits)
  - 295:     0.3000 percent of the time (60 hits)
  - 296:     1.2699 percent of the time (254 hits)
  - 297:     6.3447 percent of the time (1269 hits)
  - 298:     6.2547 percent of the time (1251 hits)
  - 299:     6.4447 percent of the time (1289 hits)
  - 300:     4.4348 percent of the time (887 hits)
  - 301:    29.1985 percent of the time (5840 hits)
  - 302:    34.7233 percent of the time (6945 hits)
  - 303:     0.0100 percent of the time (2 hits)
  - 306:     0.0600 percent of the time (12 hits)
  - 307:     9.6545 percent of the time (1931 hits)
  - 308:    22.2339 percent of the time (4447 hits)
  - 309:    18.7541 percent of the time (3751 hits)
  - 310:    52.7324 percent of the time (10547 hits)
  - 311:    73.2513 percent of the time (14651 hits)
  - 312:    10.2345 percent of the time (2047 hits)
  - 313:    12.5544 percent of the time (2511 hits)
  - 314:     9.5245 percent of the time (1905 hits)
  - 316:     0.1200 percent of the time (24 hits)
  - 317:     2.8199 percent of the time (564 hits)
  - 318:    79.8410 percent of the time (15969 hits)
  - 319:     2.4249 percent of the time (485 hits)
  - 320:     8.0646 percent of the time (1613 hits)
  - 321:     3.0598 percent of the time (612 hits)
  - 322:     0.7300 percent of the time (146 hits)
  - 323:     0.9150 percent of the time (183 hits)
  - 324:    78.3161 percent of the time (15664 hits)
  - 325:     8.7146 percent of the time (1743 hits)
  - 326:    10.1795 percent of the time (2036 hits)
  - 327:     0.7550 percent of the time (151 hits)
  - 330:     1.8099 percent of the time (362 hits)
  - 331:   100.0000 percent of the time (20001 hits)
  - 332:    69.5965 percent of the time (13920 hits)
  - 333:     5.9647 percent of the time (1193 hits)
  - 334:     1.5849 percent of the time (317 hits)
  - 335:    62.4269 percent of the time (12486 hits)
  - 336:    23.0238 percent of the time (4605 hits)
  - 337:     4.7248 percent of the time (945 hits)
  - 338:    10.1695 percent of the time (2034 hits)
  - 339:     3.7698 percent of the time (754 hits)
  - 340:    14.5343 percent of the time (2907 hits)
  - 341:    32.5934 percent of the time (6519 hits)
  - 342:     9.5645 percent of the time (1913 hits)
  - 343:     2.3499 percent of the time (470 hits)
  - 344:     3.3348 percent of the time (667 hits)
  - 345:    38.3431 percent of the time (7669 hits)
  - 347:     0.1500 percent of the time (30 hits)
  - 348:     0.0250 percent of the time (5 hits)
  - 349:     1.8349 percent of the time (367 hits)
  - 350:     0.1850 percent of the time (37 hits)
  - 351:     5.4047 percent of the time (1081 hits)
  - 352:     5.5097 percent of the time (1102 hits)
  - 353:    16.3842 percent of the time (3277 hits)
  - 354:    58.3571 percent of the time (11672 hits)
  - 355:    46.5177 percent of the time (9304 hits)
  - 356:    72.2814 percent of the time (14457 hits)
  - 357:    17.6641 percent of the time (3533 hits)
  - 358:     2.5099 percent of the time (502 hits)
  - 359:     0.1050 percent of the time (21 hits)
  - 360:    32.7034 percent of the time (6541 hits)
  - 361:    57.3821 percent of the time (11477 hits)
  - 362:     0.0900 percent of the time (18 hits)
  - 363:     5.1047 percent of the time (1021 hits)
  - 364:     9.7345 percent of the time (1947 hits)
  - 365:     0.7150 percent of the time (143 hits)
  - 366:     0.2050 percent of the time (41 hits)
  - 367:     8.1396 percent of the time (1628 hits)
  - 368:    98.1051 percent of the time (19622 hits)
  - 369:    10.3145 percent of the time (2063 hits)
  - 370:     0.3950 percent of the time (79 hits)
  - 371:     1.4949 percent of the time (299 hits)
  - 372:    25.7537 percent of the time (5151 hits)
  - 373:     0.6650 percent of the time (133 hits)
  - 374:     1.0049 percent of the time (201 hits)
  - 375:     7.1596 percent of the time (1432 hits)
  - 376:     3.1498 percent of the time (630 hits)
  - 377:     3.6348 percent of the time (727 hits)
  - 378:    84.5458 percent of the time (16910 hits)
  - 379:    10.8395 percent of the time (2168 hits)
  - 380:     1.0399 percent of the time (208 hits)
  - 381:     4.6048 percent of the time (921 hits)
  - 382:     0.1100 percent of the time (22 hits)
  - 383:     1.6099 percent of the time (322 hits)
  - 384:     4.1298 percent of the time (826 hits)
  - 385:     0.8000 percent of the time (160 hits)
  - 386:     0.3100 percent of the time (62 hits)
  - 388:     0.6550 percent of the time (131 hits)
  - 389:     0.3400 percent of the time (68 hits)
  - 390:    60.2520 percent of the time (12051 hits)
  - 391:    55.6822 percent of the time (11137 hits)
  - 392:    11.9944 percent of the time (2399 hits)
  - 393:    99.8950 percent of the time (19980 hits)
  - 394:     1.3049 percent of the time (261 hits)
  - 395:     2.0799 percent of the time (416 hits)
  - 396:     5.8397 percent of the time (1168 hits)
  - 397:     4.2748 percent of the time (855 hits)
  - 398:    94.2703 percent of the time (18855 hits)
  - 399:    61.7169 percent of the time (12344 hits)
  - 400:    67.8266 percent of the time (13566 hits)
  - 401:    14.3693 percent of the time (2874 hits)
  - 402:     8.3246 percent of the time (1665 hits)
  - 403:     3.5848 percent of the time (717 hits)
  - 404:     5.9497 percent of the time (1190 hits)
  - 405:    12.5644 percent of the time (2513 hits)
  - 408:     0.0850 percent of the time (17 hits)
  - 409:     0.0650 percent of the time (13 hits)
  - 411:    82.0109 percent of the time (16403 hits)
  - 412:     4.5148 percent of the time (903 hits)
  - 413:    53.5923 percent of the time (10719 hits)
  - 414:    13.7593 percent of the time (2752 hits)
  - 415:     1.1999 percent of the time (240 hits)
  - 418:     0.0250 percent of the time (5 hits)
  - 419:     2.2449 percent of the time (449 hits)
  - 420:     8.9946 percent of the time (1799 hits)
  - 421:    99.3250 percent of the time (19866 hits)
  - 422:     1.0499 percent of the time (210 hits)
  - 423:     4.6948 percent of the time (939 hits)
  - 424:     5.3897 percent of the time (1078 hits)
  - 425:     1.3949 percent of the time (279 hits)
  - 426:     0.5500 percent of the time (110 hits)
  - 427:     0.1350 percent of the time (27 hits)
  - 430:     1.9499 percent of the time (390 hits)
  - 431:     8.5896 percent of the time (1718 hits)
  - 432:    51.5874 percent of the time (10318 hits)
  - 433:    32.5084 percent of the time (6502 hits)
  - 434:     0.0050 percent of the time (1 hits)
  - 436:   100.0000 percent of the time (20001 hits)
  - 437:     0.0200 percent of the time (4 hits)
  - 438:    99.6100 percent of the time (19923 hits)
  - 439:     5.2447 percent of the time (1049 hits)
  - 440:     6.1797 percent of the time (1236 hits)
  - 441:     0.3650 percent of the time (73 hits)
  - 442:    94.3803 percent of the time (18877 hits)
  - 443:     7.1946 percent of the time (1439 hits)
  - 444:     0.2400 percent of the time (48 hits)
  - 445:     2.9749 percent of the time (595 hits)
  - 446:     0.0350 percent of the time (7 hits)
  - 447:    10.3645 percent of the time (2073 hits)
  - 448:     7.4446 percent of the time (1489 hits)
  - 449:     7.3846 percent of the time (1477 hits)
  - 450:     0.1150 percent of the time (23 hits)
  - 451:     3.6398 percent of the time (728 hits)
  - 452:     0.7550 percent of the time (151 hits)
  - 455:     9.9845 percent of the time (1997 hits)
  - 456:     2.9249 percent of the time (585 hits)
  - 457:     1.0199 percent of the time (204 hits)
  - 458:    20.9490 percent of the time (4190 hits)
  - 459:     1.4699 percent of the time (294 hits)
  - 460:    41.1829 percent of the time (8237 hits)
  - 461:     5.8997 percent of the time (1180 hits)
  - 462:     6.2597 percent of the time (1252 hits)
  - 463:    27.2486 percent of the time (5450 hits)
  - 464:     0.0650 percent of the time (13 hits)
  - 465:     4.0948 percent of the time (819 hits)
  - 466:     1.1749 percent of the time (235 hits)
  - 467:     0.9250 percent of the time (185 hits)
  - 468:     5.9847 percent of the time (1197 hits)
  - 469:    23.7288 percent of the time (4746 hits)
  - 472:     0.1800 percent of the time (36 hits)
  - 473:    48.7276 percent of the time (9746 hits)
  - 474:     2.4299 percent of the time (486 hits)
  - 475:    10.6345 percent of the time (2127 hits)
  - 476:    33.5933 percent of the time (6719 hits)
  - 477:     4.8748 percent of the time (975 hits)
  - 478:     4.0648 percent of the time (813 hits)
  - 483:    43.4428 percent of the time (8689 hits)
  - 484:    32.7484 percent of the time (6550 hits)
  - 485:    60.2320 percent of the time (12047 hits)
  - 486:    79.7460 percent of the time (15950 hits)
  - 487:    25.7637 percent of the time (5153 hits)
  - 488:     2.7399 percent of the time (548 hits)
  - 489:    69.5715 percent of the time (13915 hits)
  - 490:    18.1341 percent of the time (3627 hits)
  - 491:     0.1000 percent of the time (20 hits)
  - 492:    15.6792 percent of the time (3136 hits)
  - 493:     0.7600 percent of the time (152 hits)
  - 494:    11.7794 percent of the time (2356 hits)
  - 495:     1.2999 percent of the time (260 hits)
  - 496:     0.3850 percent of the time (77 hits)
  - 497:     0.1700 percent of the time (34 hits)
  - 498:    24.0638 percent of the time (4813 hits)
  - 499:     0.3400 percent of the time (68 hits)
  - 500:     0.0150 percent of the time (3 hits)
  - 501:     3.0748 percent of the time (615 hits)
  - 502:     1.3999 percent of the time (280 hits)
  - 503:     9.1995 percent of the time (1840 hits)
  - 504:     4.1648 percent of the time (833 hits)
  - 505:    69.5515 percent of the time (13911 hits)
  - 506:    73.2013 percent of the time (14641 hits)
  - 507:    47.3126 percent of the time (9463 hits)
  - 508:     1.3799 percent of the time (276 hits)
  - 509:    80.5510 percent of the time (16111 hits)
  - 510:    18.2491 percent of the time (3650 hits)
  - 511:    10.2895 percent of the time (2058 hits)
  - 512:    80.9260 percent of the time (16186 hits)
  - 513:     5.1047 percent of the time (1021 hits)
  - 514:    91.9804 percent of the time (18397 hits)
  - 515:     0.6900 percent of the time (138 hits)
  - 516:    13.4043 percent of the time (2681 hits)
  - 517:     3.0148 percent of the time (603 hits)
  - 518:   100.0000 percent of the time (20001 hits)
  - 519:     1.7799 percent of the time (356 hits)
  - 520:    70.4265 percent of the time (14086 hits)
  - 521:     8.3196 percent of the time (1664 hits)
  - 522:     0.0850 percent of the time (17 hits)
  - 523:    10.0895 percent of the time (2018 hits)
  - 524:    64.5468 percent of the time (12910 hits)
  - 525:    10.6995 percent of the time (2140 hits)
  - 526:    26.5887 percent of the time (5318 hits)
  - 527:     1.8749 percent of the time (375 hits)
  - 528:    17.1341 percent of the time (3427 hits)
  - 530:    46.3627 percent of the time (9273 hits)
  - 531:    44.6028 percent of the time (8921 hits)
  - 533:     0.0150 percent of the time (3 hits)
  - 534:     7.1146 percent of the time (1423 hits)
  - 535:     8.0996 percent of the time (1620 hits)
  - 536:    32.9084 percent of the time (6582 hits)
  - 537:     7.5246 percent of the time (1505 hits)
  - 538:    18.9741 percent of the time (3795 hits)
  - 539:     0.0700 percent of the time (14 hits)
  - 540:    13.1693 percent of the time (2634 hits)
  - 541:    86.8857 percent of the time (17378 hits)
  - 542:     0.0150 percent of the time (3 hits)
  - 545:     0.0300 percent of the time (6 hits)
  - 546:     2.3549 percent of the time (471 hits)
